provinceID,province,cigCityID,cigCityName,adcode,adname
8,海南,3211,儋州,460400,儋州市
8,海南,3212,定安,469021,定安县
8,海南,3213,东方,469007,东方市
20,青海,3214,果洛,632600,果洛藏族自治州
20,青海,3215,海东,630200,海东市
20,青海,3216,黄南,632300,黄南藏族自治州
10,河南,3217,济源,419001,济源市
28,新疆,3218,克孜勒苏柯尔克孜,653000,克孜勒苏柯尔克孜自治州
8,海南,3219,乐东,469027,乐东黎族自治县
8,海南,3220,临高,469024,临高县
8,海南,3221,陵水,469028,陵水黎族自治县
12,湖北,3222,潜江,429005,潜江市
8,海南,3223,琼海,469002,琼海市
8,海南,3224,琼中,469030,琼中黎族苗族自治县
27,西藏,3225,日喀则,540200,日喀则市
8,海南,3226,三沙,460300,三沙市
27,西藏,3227,山南,542200,山南地区
12,湖北,3228,神农架,429021,神农架林区
28,新疆,3229,石河子,659001,石河子市
12,湖北,3231,天门,429006,天门市
8,海南,3233,万宁,469006,万宁市
8,海南,3234,文昌,469005,文昌市
28,新疆,3235,五家渠,659004,五家渠市
8,海南,3236,五指山,469001,五指山市
12,湖北,3237,仙桃,429004,仙桃市
20,青海,3238,玉树,632700,玉树藏族自治州
28,新疆,3239,双河,659007,双河市
28,新疆,3240,铁门关,659006,铁门关市
28,新疆,3242,图木舒克,659003,图木舒克市
8,海南,3243,屯昌,469022,屯昌县
28,新疆,3244,可克达拉,659008,可克达拉市
12,湖北,422800,恩施,422801,恩施市
29,云南,532300,楚雄,532301,楚雄市
29,云南,532900,大理,532901,大理市
4,甘肃,622900,临夏,622901,临夏市
28,新疆,652300,昌吉,652301,昌吉市
