provinceID,province,cityID,city,areaID,area,cityLevelID,cityLevel,cigCityID,cigCityName,adcode,adname,longitude,latitude
14,吉林,1403,通化,1,东北,5,五线城市,1403,通化,220500,通化市,125.936501,41.721177
14,吉林,1405,辽源,1,东北,5,五线城市,1405,辽源,220400,辽源市,125.145349,42.902692
14,吉林,1406,白山,1,东北,5,五线城市,1406,白山,220600,白山市,126.427839,41.942505
14,吉林,1412,白城,1,东北,5,五线城市,1412,白城,220800,白城市,122.841114,45.619026
14,吉林,1425,松原,1,东北,4,四线城市,1425,松原,220700,松原市,124.823608,45.118243
14,吉林,1428,延边,1,东北,5,五线城市,1428,延边,222400,延边朝鲜族自治州,129.513228,42.904823
15,江苏,1501,南京,3,华东,2,二线城市,1501,南京,320100,南京市,118.767413,32.041544
15,江苏,1502,苏州,3,华东,1,一线城市,1502,苏州,320500,苏州市,120.619585,31.299379
15,江苏,1503,无锡,3,华东,2,二线城市,1503,无锡,320200,无锡市,120.301663,31.574729
15,江苏,1505,常州,3,华东,3,三线城市,1505,常州,320400,常州市,119.946973,31.772752
15,江苏,1507,淮安,3,华东,3,三线城市,1507,淮安,320800,淮安市,119.021265,33.597506
15,江苏,1510,连云港,3,华东,4,四线城市,1510,连云港,320700,连云港市,119.178821,34.600018
15,江苏,1511,南通,3,华东,2,二线城市,1511,南通,320600,南通市,120.864608,32.016212
15,江苏,1512,盐城,3,华东,3,三线城市,1512,盐城,320900,盐城市,120.139998,33.377631
15,江苏,1513,扬州,3,华东,3,三线城市,1513,扬州,321000,扬州市,119.421003,32.393159
15,江苏,1515,镇江,3,华东,3,三线城市,1515,镇江,321100,镇江市,119.452753,32.204402
15,江苏,1517,泰州,3,华东,3,三线城市,1517,泰州,321200,泰州市,119.915176,32.484882
15,江苏,1518,徐州,3,华东,3,三线城市,1518,徐州,320300,徐州市,117.184811,34.261792
15,江苏,1520,宿迁,3,华东,3,三线城市,1520,宿迁,321300,宿迁市,118.275162,33.963008
16,江西,1601,南昌,5,华中,3,三线城市,1601,南昌,360100,南昌市,115.892151,28.676493
16,江西,1602,上饶,5,华中,4,四线城市,1602,上饶,361100,上饶市,117.971185,28.44442
16,江西,1603,萍乡,5,华中,5,五线城市,1603,萍乡,360300,萍乡市,113.852186,27.622946
16,江西,1604,新余,5,华中,5,五线城市,1604,新余,360500,新余市,114.930835,27.810834
16,江西,1605,宜春,5,华中,4,四线城市,1605,宜春,360900,宜春市,114.391136,27.8043
16,江西,1606,九江,5,华中,4,四线城市,1606,九江,360400,九江市,115.992811,29.712034
16,江西,1607,赣州,5,华中,3,三线城市,1607,赣州,360700,赣州市,114.940278,25.85097
16,江西,1609,吉安,5,华中,4,四线城市,1609,吉安,360800,吉安市,114.986373,27.111699
16,江西,1612,景德镇,5,华中,4,四线城市,1612,景德镇,360200,景德镇市,117.214664,29.29256
16,江西,1613,抚州,5,华中,4,四线城市,1613,抚州,361000,抚州市,116.358351,27.98385
16,江西,1615,鹰潭,5,华中,5,五线城市,1615,鹰潭,360600,鹰潭市,117.033838,28.238638
14,吉林,1616,四平,1,东北,4,四线城市,1616,四平,220300,四平市,124.370785,43.170344
17,辽宁,1701,沈阳,1,东北,2,二线城市,1701,沈阳,210100,沈阳市,123.429096,41.796767
17,辽宁,1702,丹东,1,东北,5,五线城市,1702,丹东,210600,丹东市,124.383044,40.124296
17,辽宁,1703,抚顺,1,东北,4,四线城市,1703,抚顺,210400,抚顺市,123.921109,41.875956
17,辽宁,1704,阜新,1,东北,4,四线城市,1704,阜新,210900,阜新市,121.648962,42.011796
17,辽宁,1705,葫芦岛,1,东北,4,四线城市,1705,葫芦岛,211400,葫芦岛市,120.856394,40.755572
17,辽宁,1707,朝阳,1,东北,4,四线城市,1707,朝阳,211300,朝阳市,120.451176,41.576758
17,辽宁,1708,大连,1,东北,2,二线城市,1708,大连,210200,大连市,121.618622,38.91459
17,辽宁,1709,本溪,1,东北,5,五线城市,1709,本溪,210500,本溪市,123.770519,41.297909
17,辽宁,1710,鞍山,1,东北,3,三线城市,1710,鞍山,210300,鞍山市,122.995632,41.110626
17,辽宁,1711,锦州,1,东北,4,四线城市,1711,锦州,210700,锦州市,121.135742,41.119269
17,辽宁,1711,北宁,1,东北,4,四线城市,1711,锦州,210782,北镇市,121.795962,41.598764
17,辽宁,1713,辽阳,1,东北,4,四线城市,1713,辽阳,211000,辽阳市,123.18152,41.269402
17,辽宁,1714,营口,1,东北,4,四线城市,1714,营口,210800,营口市,122.235151,40.667432
17,辽宁,1716,盘锦,1,东北,4,四线城市,1716,盘锦,211100,盘锦市,122.06957,41.124484
17,辽宁,1717,铁岭,1,东北,4,四线城市,1717,铁岭,211200,铁岭市,123.844279,42.290585
18,内蒙古,1801,呼和浩特,2,华北,3,三线城市,1801,呼和浩特,150100,呼和浩特市,111.670801,40.818311
18,内蒙古,1802,包头,2,华北,3,三线城市,1802,包头,150200,包头市,109.840405,40.658168
18,内蒙古,1803,赤峰,2,华北,3,三线城市,1803,赤峰,150400,赤峰市,118.956806,42.275317
18,内蒙古,1804,通辽,2,华北,4,四线城市,1804,通辽,150500,通辽市,122.263119,43.617429
18,内蒙古,1805,乌海,2,华北,5,五线城市,1805,乌海,150300,乌海市,106.825563,39.673734
18,内蒙古,1808,鄂尔多斯,2,华北,3,三线城市,1808,鄂尔多斯,150600,鄂尔多斯市,109.99029,39.817179
18,内蒙古,1812,呼伦贝尔,2,华北,4,四线城市,1812,呼伦贝尔,150700,呼伦贝尔市,119.758168,49.215333
18,内蒙古,1814,兴安,2,华北,5,五线城市,1814,兴安,152200,兴安盟,122.070317,46.076268
18,内蒙古,1814,兴安盟,2,华北,5,五线城市,1814,兴安,152200,兴安盟,122.070317,46.076268
18,内蒙古,1824,巴彦淖尔,2,华北,4,四线城市,1824,巴彦淖尔,150800,巴彦淖尔市,107.416959,40.757402
18,内蒙古,1825,乌兰察布,2,华北,4,四线城市,1825,乌兰察布,150900,乌兰察布市,113.114543,41.034126
18,内蒙古,1829,锡林郭勒,2,华北,4,四线城市,1829,锡林郭勒,152500,锡林郭勒盟,116.090996,43.944018
18,内蒙古,1829,锡林郭勒盟,2,华北,4,四线城市,1829,锡林郭勒,152500,锡林郭勒盟,116.090996,43.944018
18,内蒙古,1830,阿拉善,2,华北,5,五线城市,1830,阿拉善,152900,阿拉善盟,105.706422,38.844814
18,内蒙古,1830,阿拉善盟,2,华北,5,五线城市,1830,阿拉善,152900,阿拉善盟,105.706422,38.844814
19,宁夏,1901,银川,6,西北,3,三线城市,1901,银川,640100,银川市,106.278179,38.46637
19,宁夏,1902,吴忠,6,西北,5,五线城市,1902,吴忠,640300,吴忠市,106.199409,37.986165
19,宁夏,1903,固原,6,西北,5,五线城市,1903,固原,640400,固原市,106.285241,36.004561
19,宁夏,1905,石嘴山,6,西北,5,五线城市,1905,石嘴山,640200,石嘴山市,106.376173,39.01333
19,宁夏,1907,中卫,6,西北,5,五线城市,1907,中卫,640500,中卫市,105.189568,37.514951
20,青海,2001,西宁,6,西北,3,三线城市,2001,西宁,630100,西宁市,101.778916,36.623178
20,青海,2023,海北,6,西北,5,五线城市,2023,海北,632200,海北藏族自治州,100.901059,36.959435
20,青海,2027,海西,6,西北,5,五线城市,2027,海西,632800,海西蒙古族藏族自治州,97.370785,37.374663
20,青海,2030,海南,6,西北,5,五线城市,2030,海南,632500,海南藏族自治州,100.619542,36.280353
21,山东,2101,济南,3,华东,2,二线城市,2101,济南,370100,济南市,117.000923,36.675807
21,山东,2102,青岛,3,华东,2,二线城市,2102,青岛,370200,青岛市,120.355173,36.082982
21,山东,2103,烟台,3,华东,3,三线城市,2103,烟台,370600,烟台市,121.391382,37.539297
21,山东,2104,威海,3,华东,3,三线城市,2104,威海,371000,威海市,122.116394,37.509691
21,山东,2105,潍坊,3,华东,2,二线城市,2105,潍坊,370700,潍坊市,119.107078,36.70925
21,山东,2106,泰安,3,华东,3,三线城市,2106,泰安,370900,泰安市,117.129063,36.194968
21,山东,2107,枣庄,3,华东,4,四线城市,2107,枣庄,370400,枣庄市,117.557964,34.856424
21,山东,2109,淄博,3,华东,3,三线城市,2109,淄博,370300,淄博市,118.047648,36.814939
21,山东,2110,东营,3,华东,3,三线城市,2110,东营,370500,东营市,118.66471,37.434564
21,山东,2112,菏泽,3,华东,3,三线城市,2112,菏泽,371700,菏泽市,115.469381,35.246531
21,山东,2113,滨州,3,华东,3,三线城市,2113,滨州,371600,滨州市,118.016974,37.383542
21,山东,2114,聊城,3,华东,3,三线城市,2114,聊城,371500,聊城市,115.980367,36.456013
21,山东,2117,临沂,3,华东,2,二线城市,2117,临沂,371300,临沂市,118.326443,35.065282
21,山东,2118,济宁,3,华东,3,三线城市,2118,济宁,370800,济宁市,116.587245,35.415393
21,山东,2120,日照,3,华东,3,三线城市,2120,日照,371100,日照市,119.461208,35.428588
21,山东,2132,莱芜,3,华东,4,四线城市,2132,莱芜,371200,莱芜市,117.677736,36.214397
22,山西,2201,太原,2,华北,2,二线城市,2201,太原,140100,太原市,112.549248,37.857014
22,山西,2202,大同,2,华北,3,三线城市,2202,大同,140200,大同市,113.295259,40.09031
22,山西,2203,晋城,2,华北,4,四线城市,2203,晋城,140500,晋城市,112.851274,35.497553
22,山西,2204,晋中,2,华北,3,三线城市,2204,晋中,140700,晋中市,112.736465,37.696495
22,山西,2205,临汾,2,华北,3,三线城市,2205,临汾,141000,临汾市,111.517973,36.08415
22,山西,2206,长治,2,华北,3,三线城市,2206,长治,140400,长治市,113.113556,36.191112
22,山西,2207,运城,2,华北,3,三线城市,2207,运城,140800,运城市,111.003957,35.022778
22,山西,2210,忻州,2,华北,4,四线城市,2210,忻州,140900,忻州市,112.733538,38.41769
22,山西,2218,阳泉,2,华北,4,四线城市,2218,阳泉,140300,阳泉市,113.583285,37.861188
22,山西,2219,朔州,2,华北,4,四线城市,2219,朔州,140600,朔州市,112.433387,39.331261
22,山西,2227,吕梁,2,华北,4,四线城市,2227,吕梁,141100,吕梁市,111.134335,37.524366
23,陕西,2301,西安,6,西北,2,二线城市,2301,西安,610100,西安市,108.948024,34.263161
23,陕西,2302,咸阳,6,西北,4,四线城市,2302,咸阳,610400,咸阳市,108.705117,34.333439
23,陕西,2303,渭南,6,西北,4,四线城市,2303,渭南,610500,渭南市,109.502882,34.499381
